GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
KEN00001;1977-02-16;12:00;0.0;Fe-Tot;FAAS-AAc-D-NA;;0.12;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;Mn-Tot;FAAS-AAc-D-NA;;0.02;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;Na-Dis;FAAS-AAc-D;;92.5;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;pH;pH-POT-25;;8.7;---;Fair;
KEN00001;1977-02-16;12:00;0.0;Alk-Tot;Alk-T-POT-TE-Auto;;236.0;mg/l;Fair;
KEN00001;1977-02-16;12:00;0.0;EC;EC-CND-Pt;;480.0;µS/cm;Fair;
KEN00001;1982-04-26;12:00;0.3;EC;EC-CND-Pt;;700.0;µS/cm;Fair;
KEN00001;1982-04-26;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.5;°C;Fair;
KEN00001;1982-04-26;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;142.0;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;pH;pH-POT-25;;7.1;---;Fair;
KEN00001;1982-04-26;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;5.8;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;24.0;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;8.4;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.4;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;2.2;mg/l;Fair;
KEN00001;1982-04-26;12:00;0.3;Q-Inst;W-Q-GAUGE;;52.8;m³/s;Fair;
KEN00001;1982-05-06;12:00;0.3;EC;EC-CND-Pt;;250.0;µS/cm;Fair;
KEN00001;1982-05-06;12:00;0.3;TEMP;TEMP-THERMISTOR;;19.0;°C;Fair;
KEN00001;1982-05-06;12:00;0.3;F-Dis;F-ISE;;1.3;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;164.0;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;pH;pH-POT-25;;8.2;---;Fair;
KEN00001;1982-05-06;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;7.6;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;113.0;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Ca-Dis;T-COL-EDTA-HNB;;28.0;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Mn-Tot;FAAS-AAc-D-NA;;0.2;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Fe-Tot;FAAS-AAc-D-NA;;1.4;mg/l;Fair;
KEN00001;1982-05-06;12:00;0.3;Q-Inst;W-Q-GAUGE;;53.4;m³/s;Fair;
KEN00001;1982-05-13;12:00;0.3;EC;EC-CND-Pt;;200.0;µS/cm;Fair;
KEN00001;1982-05-13;12:00;0.3;TEMP;TEMP-THERMISTOR;;21.0;°C;Fair;
KEN00001;1982-05-13;12:00;0.3;F-Dis;F-ISE;;0.63;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Alk-Tot;Alk-T-POT-TE-Auto;;78.0;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;pH;pH-POT-25;;7.9;---;Fair;
KEN00001;1982-05-13;12:00;0.3;Mg-Dis;T-COL-EDTA-EBT;;3.8;mg/l;Fair;
KEN00001;1982-05-13;12:00;0.3;Cl-Dis;T-COL-Hg-NO3-2;;8.8;mg/l;Fair;
